Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,LenX,LenY,LenZ,X,Y,Z,Box_width,Box_depth,Box_height,Skriting,skriting_width,carcass_thickness,door_thickness,backplank_thickness,VB main position,VB double position,screw position,Profile_Depth,Profile_Width,Profile_Distance,,,,,,,,,,,
right plank,2,,,,,,20,531,1000,780,21,0,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,50,989,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,259.5,989,,,,,,,,,,,,,,,,,,,,,,,,,
VB_Double_hole,3,,,,,,5,5,11,0,469,989,,,,,,,,,,,,,,,,,,,,,,,,,
slot groove,3,,,,,,10,10,895,0,529,105,,,,,,,,,,,,,,,,,,,,,,,,,
Door 1,2,,,,,,398,21,888,0,0,110,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,23.5,21,100,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,23.5,21,444,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,23.5,21,788,,,,,,,,,,,,,,,,,,,,,,,,,
Door 2,2,,,,,,398,21,888,400,0,110,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,374.5,21,100,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,374.5,21,444,,,,,,,,,,,,,,,,,,,,,,,,,
Hinge_Hole,3,,,,,,35,35,14,374.5,21,788,,,,,,,,,,,,,,,,,,,,,,,,,
Entity Name,level,Material,Room_Name,Unit_Location,Box_Model,Box_Type,F_LenX,F_LenY,F_LenZ,F_X,F_Y,F_Z,Box_width,Box_depth,Box_height,Skriting,skriting_width,carcass_thickness,door_thickness,backplank_thickness,VB main position,VB double positiion,screw position,Profile_Depth,Profile_Width,Profile_Distance,,,,,,,,,,,
K_Base 2Door BoxtoBox,1,,Kitchen,North_Wall,Simple Box,BoxtoBox,650,600,800,,,,650,600,800,110,610,20,20,10,0,0,50,,,,,,,,,,,,,,
skriting,2,,,,,,610,20,110,20,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
back plank,2,,,,,,650,10,690,0,590,110,,,,,,,,,,,,,,,,,,,,,,,,,
bottom plank,2,,,,,,610,570,20,20,20,110,,,,,,,,,,,,,,,,,,,,,,,,,
top plank,2,,,,,,610,570,20,20,20,780,,,,,,,,,,,,,,,,,,,,,,,,,
shelf plank,2,,,,,,610,550,20,20,40,445,,,,,,,,,,,,,,,,,,,,,,,,,
left plank,2,,,,,,20,570,800,0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,50,790,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,192.5,790,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,377.5,760,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,520,790,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,50,120,,,,,,,,,,,,,,,,,,,,,,,,,
Screw_hole,3,,,,,,4,4,20,20,192.5,120,,,,,,,,,,,,,,,,,,,,,,,,,
